sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration
1584853114;244270;1584853114;244299;1584853114;244214;0.306;0.0255;9.6135
1584853114;444235;1584853114;444267;1584853114;444137;0.3485;0.0935;9.639
1584853114;644035;1584853114;644172;1584853114;643888;0.3485;0.0595;9.7155
1584853114;844287;1584853114;844337;1584853114;844217;0.3825;0.0425;9.724
1584853115;44130;1584853115;44164;1584853115;44063;0.3825;0.0425;9.6985
1584853115;244016;1584853115;244065;1584853115;243918;0.4165;0.0425;9.6305
1584853115;444290;1584853115;444328;1584853115;444224;0.3315;0.0085;9.639
1584853115;644173;1584853115;644244;1584853115;644071;0.3485;0.0595;9.639
1584853115;843962;1584853115;844000;1584853115;843897;0.3315;0.0595;9.6985
1584853116;44306;1584853116;44353;1584853116;44211;0.3655;0.0595;9.724
1584853116;244137;1584853116;244201;1584853116;244073;0.3655;0.0425;9.6985
1584853116;443996;1584853116;444022;1584853116;443948;0.3995;0;9.639
1584853116;644692;1584853116;644790;1584853116;644241;0.3825;0.0425;9.639
1584853116;844219;1584853116;844243;1584853116;844131;0.3825;0.0935;9.6305
1584853117;43975;1584853117;44008;1584853117;43919;0.3655;0.0765;9.639
1584853117;244295;1584853117;244318;1584853117;244251;0.3995;0.0595;9.6985
1584853117;444204;1584853117;444244;1584853117;444103;0.3485;0.0425;9.6985
1584853117;643982;1584853117;644010;1584853117;643935;0.4165;0;9.6305
1584853117;844319;1584853117;844366;1584853117;844250;0.3485;0.0425;9.639
1584853118;44193;1584853118;44222;1584853118;44111;0.3485;0.0935;9.639
1584853118;244003;1584853118;244030;1584853118;243932;0.3825;0.0765;9.6985
1584853118;444327;1584853118;444354;1584853118;444274;0.3825;0.0595;9.7155
1584853118;644168;1584853118;644222;1584853118;644098;0.3485;0.0255;9.6985
1584853118;844025;1584853118;844061;1584853118;843969;0.3995;0;9.639
1584853119;44335;1584853119;44394;1584853119;44241;0.3315;0.0255;9.5965
1584853119;244213;1584853119;244237;1584853119;244167;0.3485;0.0935;9.639
1584853119;444034;1584853119;444060;1584853119;443962;0.3485;0.0765;9.6985
1584853119;644342;1584853119;644366;1584853119;644276;0.3655;0.0425;9.7155
1584853119;844175;1584853119;844198;1584853119;844117;0.3655;0.0255;9.6815
1584853120;44031;1584853120;44064;1584853120;43979;0.3485;0.0255;9.6135
1584853120;244354;1584853120;244395;1584853120;244266;0.3315;0.0765;9.5965
1584853120;444209;1584853120;444247;1584853120;444151;0.3485;0.1105;9.6815
1584853120;644028;1584853120;644066;1584853120;643968;0.3655;0.0935;9.724
1584853120;844358;1584853120;844391;1584853120;844277;0.3655;0.0425;9.7665
1584853121;44214;1584853121;44239;1584853121;44154;0.3655;0.0085;9.6815
1584853121;244101;1584853121;244128;1584853121;243964;0.3655;0.0255;9.6815
1584853121;444324;1584853121;444363;1584853121;444264;0.3315;0.0085;9.6305
1584853121;644237;1584853121;644267;1584853121;644184;0.3315;0.0085;9.6305
1584853121;845248;1584853121;845299;1584853121;843956;0.3655;0.0765;9.6645
1584853122;44329;1584853122;44356;1584853122;44277;0.3825;0.0765;9.6985
1584853122;244201;1584853122;244241;1584853122;244134;0.3995;0.0595;9.7155
1584853122;444113;1584853122;444141;1584853122;443999;0.3825;0.0595;9.724
1584853122;644359;1584853122;644384;1584853122;644314;0.3655;0.0085;9.639
1584853122;845144;1584853122;845178;1584853122;844145;0.3145;0.0255;9.6135
1584853123;44030;1584853123;44054;1584853123;43973;0.3825;0.0425;9.639
1584853123;244443;1584853123;244472;1584853123;244289;0.3655;0.0935;9.724
1584853123;444223;1584853123;444248;1584853123;444178;0.3825;0.0935;9.7665
1584853123;644403;1584853123;644517;1584853123;643976;0.3655;0.0595;9.724
1584853123;844388;1584853123;844413;1584853123;844286;0.3655;0.0085;9.6645
1584853124;44295;1584853124;44330;1584853124;44207;0.3145;0.0085;9.6135
1584853124;244042;1584853124;244066;1584853124;243997;0.306;0.0595;9.6135
1584853124;444371;1584853124;444403;1584853124;444319;0.3485;0.0765;9.6645
1584853124;644269;1584853124;644293;1584853124;644169;0.3315;0.0935;9.6985
1584853124;844148;1584853124;844195;1584853124;844011;0.3655;0.0085;9.7495
1584853125;44395;1584853125;44422;1584853125;44326;0.3655;0;9.6645
1584853125;244286;1584853125;244341;1584853125;244184;0.3315;0.0085;9.5965
1584853125;444093;1584853125;444127;1584853125;444019;0.3655;0.0595;9.6305
1584853125;644419;1584853125;644465;1584853125;644310;0.3485;0.0765;9.639
1584853125;844247;1584853125;844283;1584853125;844175;0.3825;0.0595;9.6985
1584853126;44085;1584853126;44125;1584853126;43997;0.3825;0.0595;9.6985
1584853126;244379;1584853126;244404;1584853126;244336;0.3995;0.0255;9.6815
1584853126;444315;1584853126;444342;1584853126;444240;0.3655;0.0255;9.639
1584853126;644058;1584853126;644089;1584853126;644001;0.3485;0.68;9.6135
