sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;SteeringWhlAngle
1584853114;125379;1584853114;125400;1584853114;125302;0.009765625
1584853114;225808;1584853114;225849;1584853114;225674;0.009765625
1584853114;326303;1584853114;326395;1584853114;325628;0.009765625
1584853114;425369;1584853114;425406;1584853114;425271;0.009765625
1584853114;525843;1584853114;525934;1584853114;525657;0.009765625
1584853114;625734;1584853114;625774;1584853114;625627;0.009765625
1584853114;725973;1584853114;725997;1584853114;725269;0.009765625
1584853114;825760;1584853114;825780;1584853114;825675;0.009765625
1584853114;925805;1584853114;925891;1584853114;925632;0.009765625
1584853115;25370;1584853115;25390;1584853115;25273;0.009765625
1584853115;125696;1584853115;125716;1584853115;125654;0.009765625
1584853115;226259;1584853115;226284;1584853115;225630;0.009765625
1584853115;325365;1584853115;325385;1584853115;325284;0.009765625
1584853115;425849;1584853115;425879;1584853115;425682;0.009765625
1584853115;525688;1584853115;525709;1584853115;525628;0.009765625
1584853115;625909;1584853115;625933;1584853115;625278;0.009765625
1584853115;725751;1584853115;725772;1584853115;725686;0.009765625
1584853115;825724;1584853115;825744;1584853115;825653;0.009765625
1584853115;925373;1584853115;925393;1584853115;925302;0.009765625
1584853116;26415;1584853116;26439;1584853116;25657;0.009765625
1584853116;125729;1584853116;125753;1584853116;125632;0.009765625
1584853116;225883;1584853116;225956;1584853116;225298;0.009765625
1584853116;325772;1584853116;325796;1584853116;325694;0.009765625
1584853116;426063;1584853116;426187;1584853116;425647;0.009765625
1584853116;525764;1584853116;525882;1584853116;525336;0.009765625
1584853116;625956;1584853116;625982;1584853116;625689;0.009765625
1584853116;726146;1584853116;726178;1584853116;725644;0.009765625
1584853116;826505;1584853116;826530;1584853116;825307;0.009765625
1584853116;927038;1584853116;927061;1584853116;925682;0.009765625
1584853117;25996;1584853117;26018;1584853117;25650;0.009765625
1584853117;126523;1584853117;126558;1584853117;125314;0.009765625
1584853117;227027;1584853117;227049;1584853117;225694;0.009765625
