sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSpeed;
1584853114;145083;1584853114;145109;1584853114;145008;0;
1584853114;245346;1584853114;245372;1584853114;245186;0;
1584853114;344951;1584853114;344977;1584853114;344825;0;
1584853114;445284;1584853114;445374;1584853114;445095;0;
1584853114;545234;1584853114;545256;1584853114;545181;0;
1584853114;645209;1584853114;645231;1584853114;644850;0;
1584853114;745069;1584853114;745115;1584853114;745029;0;
1584853114;845584;1584853114;845692;1584853114;845188;0;
1584853114;944937;1584853114;944976;1584853114;944847;0;
1584853115;45126;1584853115;45148;1584853115;45022;0;
1584853115;145330;1584853115;145355;1584853115;145182;0;
1584853115;245051;1584853115;245074;1584853115;244880;0;
1584853115;345215;1584853115;345317;1584853115;345018;0;
1584853115;445289;1584853115;445310;1584853115;445196;0;
1584853115;544983;1584853115;545008;1584853115;544857;0;
1584853115;645329;1584853115;645367;1584853115;645032;0;
1584853115;745326;1584853115;745347;1584853115;745183;0;
1584853115;845024;1584853115;845051;1584853115;844862;0;
1584853115;945190;1584853115;945216;1584853115;945037;0;
1584853116;45610;1584853116;45718;1584853116;45183;0;
1584853116;145179;1584853116;145239;1584853116;144850;0;
1584853116;245074;1584853116;245095;1584853116;245029;0;
1584853116;345304;1584853116;345329;1584853116;345197;0;
1584853116;445163;1584853116;445194;1584853116;444903;0;
1584853116;545323;1584853116;545359;1584853116;545042;0;
1584853116;645569;1584853116;645595;1584853116;645210;0;
1584853116;745391;1584853116;745482;1584853116;744853;0;
1584853116;845183;1584853116;845207;1584853116;845071;0;
1584853116;945809;1584853116;945833;1584853116;945202;0;
1584853117;45143;1584853117;45169;1584853117;44888;0;
1584853117;145833;1584853117;145860;1584853117;145033;0;
1584853117;245277;1584853117;245300;1584853117;245207;0;
1584853117;345467;1584853117;345508;1584853117;344847;0;
1584853117;445323;1584853117;445350;1584853117;445055;0;
1584853117;545576;1584853117;545597;1584853117;545193;0;
1584853117;644976;1584853117;644999;1584853117;644899;0;
1584853117;745433;1584853117;745545;1584853117;745041;0;
1584853117;845364;1584853117;845400;1584853117;845204;0;
1584853117;945174;1584853117;945199;1584853117;944874;0;
1584853118;48955;1584853118;48984;1584853118;45052;0;
1584853118;145792;1584853118;145852;1584853118;145212;0;
1584853118;245633;1584853118;245657;1584853118;244878;0;
1584853118;345678;1584853118;345701;1584853118;345046;0;
1584853118;445420;1584853118;445530;1584853118;445230;0;
1584853118;546563;1584853118;546660;1584853118;544886;0;
1584853118;647055;1584853118;647078;1584853118;645077;0;
1584853118;745390;1584853118;745470;1584853118;745213;0;
1584853118;845657;1584853118;845693;1584853118;844920;0;
1584853118;946195;1584853118;946219;1584853118;945065;0;
1584853119;45809;1584853119;45856;1584853119;45212;0;
1584853119;144940;1584853119;144970;1584853119;144884;0;
1584853119;245180;1584853119;245202;1584853119;245108;0;
1584853119;345844;1584853119;345868;1584853119;345214;0;
1584853119;445777;1584853119;445904;1584853119;444914;0;
1584853119;546180;1584853119;546214;1584853119;545067;0;
1584853119;645401;1584853119;645512;1584853119;645232;0;
1584853119;745050;1584853119;745074;1584853119;744874;0;
1584853119;846084;1584853119;846107;1584853119;845072;0;
1584853119;945560;1584853119;945584;1584853119;945237;0;
1584853120;45934;1584853120;45971;1584853120;44933;0;
1584853120;145153;1584853120;145176;1584853120;145069;0;
1584853120;246043;1584853120;246067;1584853120;245235;0;
1584853120;345062;1584853120;345086;1584853120;344904;0;
1584853120;445922;1584853120;445952;1584853120;445111;0;
1584853120;545302;1584853120;545482;1584853120;545228;0;
1584853120;645721;1584853120;645780;1584853120;644921;0;
1584853120;746593;1584853120;746708;1584853120;745085;0;
1584853120;846078;1584853120;846101;1584853120;845233;0;
1584853120;945677;1584853120;945701;1584853120;944914;0;
1584853121;45956;1584853121;45997;1584853121;45107;0;
1584853121;146039;1584853121;146063;1584853121;145239;0;
1584853121;246153;1584853121;246177;1584853121;244931;0;
1584853121;346417;1584853121;346450;1584853121;345073;0;
1584853121;446029;1584853121;446052;1584853121;445229;0;
1584853121;545733;1584853121;545757;1584853121;544890;0;
1584853121;645449;1584853121;645475;1584853121;645122;0;
1584853121;745754;1584853121;745778;1584853121;745228;0;
1584853121;846875;1584853121;846899;1584853121;844914;0;
1584853121;945932;1584853121;945971;1584853121;945088;0;
1584853122;45747;1584853122;45771;1584853122;45252;0;
1584853122;145089;1584853122;145169;1584853122;144914;0;
1584853122;245893;1584853122;245918;1584853122;245091;0;
1584853122;346586;1584853122;346795;1584853122;345251;0;
1584853122;445585;1584853122;445610;1584853122;444964;0;
1584853122;545177;1584853122;545201;1584853122;545083;0;
1584853122;645784;1584853122;645837;1584853122;645249;0;
1584853122;747636;1584853122;747660;1584853122;744915;0;
1584853122;846412;1584853122;846435;1584853122;845107;0;
1584853122;945678;1584853122;945764;1584853122;945262;0;
1584853123;45072;1584853123;45095;1584853123;44923;0;
1584853123;146893;1584853123;146917;1584853123;145103;0;
1584853123;246137;1584853123;246161;1584853123;245260;0;
1584853123;345654;1584853123;345680;1584853123;344913;0;
1584853123;445231;1584853123;445255;1584853123;445119;0;
1584853123;551198;1584853123;551223;1584853123;545263;0;
1584853123;645832;1584853123;645913;1584853123;644938;0;
1584853123;747034;1584853123;747065;1584853123;745112;0;
1584853123;845811;1584853123;845834;1584853123;845255;0;
1584853123;948891;1584853123;948915;1584853123;944947;0;
1584853124;45801;1584853124;45917;1584853124;45149;0;
1584853124;145785;1584853124;145813;1584853124;145279;0;
1584853124;245030;1584853124;245053;1584853124;244952;0;
1584853124;347190;1584853124;347368;1584853124;345147;0;
1584853124;445562;1584853124;445585;1584853124;445270;0;
1584853124;546223;1584853124;546255;1584853124;544940;0;
1584853124;646085;1584853124;646121;1584853124;645111;0;
1584853124;746122;1584853124;746161;1584853124;745266;0;
1584853124;846005;1584853124;846065;1584853124;844958;0;
1584853124;948841;1584853124;949046;1584853124;945156;0;
1584853125;45673;1584853125;45699;1584853125;45276;0;
1584853125;145798;1584853125;145821;1584853125;144941;0;
1584853125;247412;1584853125;247585;1584853125;245151;0;
1584853125;345563;1584853125;345585;1584853125;345282;0;
1584853125;445264;1584853125;445294;1584853125;444985;0;
1584853125;545215;1584853125;545236;1584853125;545123;0;
1584853125;645835;1584853125;645857;1584853125;645274;0;
1584853125;745088;1584853125;745117;1584853125;744941;0;
1584853125;845745;1584853125;845914;1584853125;845135;0;
1584853125;945626;1584853125;945650;1584853125;945290;0;
1584853126;45979;1584853126;46002;1584853126;44964;0;
1584853126;145775;1584853126;145895;1584853126;145121;0;
1584853126;245548;1584853126;245597;1584853126;245290;0;
1584853126;345032;1584853126;345055;1584853126;344941;0;
1584853126;446030;1584853126;446054;1584853126;445185;0;
1584853126;545618;1584853126;545642;1584853126;545288;0;
1584853126;645127;1584853126;645151;1584853126;644967;0;
1584853126;745508;1584853126;745533;1584853126;745133;0;
1584853126;846132;1584853126;846171;1584853126;845283;0;
1584853126;945530;1584853126;945564;1584853126;944958;0.10166;
1584853127;45271;1584853127;45292;1584853127;45128;0.26979;
1584853127;145574;1584853127;145602;1584853127;145268;0.33626;
1584853127;245050;1584853127;245072;1584853127;244981;0.41055;
1584853127;346179;1584853127;346240;1584853127;345126;0.47702;
1584853127;445841;1584853127;445866;1584853127;445295;0.55131;
1584853127;545051;1584853127;545075;1584853127;544935;0.6256;
1584853127;645761;1584853127;645809;1584853127;645151;0.68816;
1584853127;745861;1584853127;745906;1584853127;745274;0.77027;
1584853127;846304;1584853127;846324;1584853127;844950;0.82892;
1584853127;947004;1584853127;947105;1584853127;945147;0.89148;
